,Ticker 1,Ticker 2
Pair 1,ORCL,GOOGL
Pair 2,USLV,GLD
Pair 3,USLV,AAPL
Pair 4,USLV,GOOGL
Pair 5,USLV,AMD
Pair 6,USLV,NVDA
Pair 7,USLV,CSCO
Pair 8,USLV,ORCL
Pair 9,USLV,TTWO
Pair 10,USLV,EA
Pair 11,USLV,HYG
Pair 12,USLV,LQD
Pair 13,USLV,JNK
Pair 14,VOO,SPY
Pair 15,KXI,VDC
Pair 16,VNQ,ORCL
Pair 17,VNQ,USO
Pair 18,VNQ,QQQ
Pair 19,VNQ,SPY
Pair 20,VNQ,VOO
Pair 21,VNQ,VTI
Pair 22,VNQ,VDC
Pair 23,VNQ,IBB
Pair 24,VNQ,VHT
Pair 25,IYR,CSCO
Pair 26,IYR,ORCL
Pair 27,IYR,SPY
Pair 28,IYR,VOO
Pair 29,IYR,VTI
Pair 30,IYR,VHT
Pair 31,MSFT,AMD
Pair 32,UPRO,GOOGL
Pair 33,UPRO,ORCL
Pair 34,JPM,IYR
Pair 35,CVX,LQD
Pair 36,CVX,IBB
Pair 37,CVX,TMF
Pair 38,XOM,PG
Pair 39,INTC,CSCO
Pair 40,INTC,TTWO
Pair 41,COST,MSFT
Pair 42,T,AAPL
Pair 43,T,AMD
Pair 44,T,NVDA
Pair 45,T,QQQ
Pair 46,T,MSFT
Pair 47,T,WMT
Pair 48,VZ,GOOGL
Pair 49,VZ,CSCO
Pair 50,VZ,TTWO
Pair 51,VZ,EA
Pair 52,VZ,QQQ
Pair 53,VZ,SPY
Pair 54,VZ,VOO
Pair 55,VZ,VDE
Pair 56,VZ,VTI
Pair 57,VZ,VDC
Pair 58,VZ,VHT
Pair 59,VZ,IYR
Pair 60,VZ,MSFT
Pair 61,VZ,PG
Pair 62,VZ,TMF
Pair 63,VZ,JPM
Pair 64,VZ,XOM
Pair 65,VZ,INTC
Pair 66,VZ,COST
Pair 67,VZ,WMT
Pair 68,CMCSA,ORCL
Pair 69,CMCSA,VDC
Pair 70,CMCSA,KXI
Pair 71,CMCSA,VHT
Pair 72,CMCSA,VNQ
Pair 73,CMCSA,IYR
