,,MaxSharpe,long_entryZscore,long_exitZscore,short_entryZscore,short_exitZscore
1,ORCL GOOGL,2.142829386,-0.665175238,0.050438778,0.745645804,-0.048219106
2,USLV GLD,1.959752845,-0.828350468,0.051729612,0.483645782,-0.052274771
3,USLV AAPL,2.125588734,-0.551336013,0.053982991,0.728412383,-0.053249207
4,USLV GOOGL,2.03254869,-0.831307884,0.051104528,0.415311871,-0.056196275
5,USLV AMD,1.185271633,-0.664329074,0.046875436,0.76390351,-0.053986
6,USLV NVDA,1.112023917,-0.669375,0.0509375,0.72625,-0.0509375
7,USLV CSCO,2.310446553,-0.697902337,0.0529246,0.636176075,-0.050465388
8,USLV ORCL,2.134373196,-0.671364379,0.049935082,0.643314233,-0.051297389
9,USLV TTWO,1.549854956,-0.69453125,0.051953125,0.70984375,-0.04953125
10,USLV EA,2.089789583,-0.738501816,0.049553719,0.701890564,-0.049936714
11,USLV HYG,2.015178012,-0.766099218,0.047620122,0.697153757,-0.047442465
12,USLV LQD,2.021289969,-0.788026201,0.052708121,0.68741825,-0.046759463
13,USLV JNK,2.019141487,-0.77096852,0.050391164,0.698534905,-0.044938466
14,VOO SPY,3.235802901,-0.826039013,0.069005561,-0.007080321,-0.052630974
15,KXI VDC,2.009208826,-0.718217907,0.051094179,0.682727776,-0.049794378
16,VNQ ORCL,2.692377118,-0.655429687,0.051181641,0.712441406,-0.053525391
17,VNQ USO,1.521070179,-0.533592925,0.054702143,0.718010409,-0.054990722
18,VNQ QQQ,2.213299272,-0.789185711,0.05210463,0.650877764,-0.049246729
19,VNQ SPY,2.324741023,-0.763218618,0.046327631,0.76154368,-0.049398099
20,VNQ VOO,2.5279572,-0.76989628,0.050052167,0.61778282,-0.051802295
21,VNQ VTI,2.385756136,-0.674661033,0.049030146,0.659973046,-0.053789999
22,VNQ VDC,2.037744696,-0.735,0.05,0.7,-0.05
23,VNQ IBB,2.033342473,-0.755480682,0.049507709,0.715307622,-0.049004484
24,VNQ VHT,1.957676051,-0.665102539,0.050587158,0.735393066,-0.050081787
25,IYR CSCO,2.43927561,-0.637245343,0.053074946,0.734376244,-0.049864733
26,IYR ORCL,2.855063557,-0.70875,0.049375,0.704375,-0.0503125
27,IYR SPY,2.42025451,-0.722002835,0.054953748,0.549624876,-0.053144199
28,IYR VOO,2.397200168,-0.729540596,0.057106075,0.548436584,-0.051536694
29,IYR VTI,2.359006957,-0.758625653,0.055348189,0.450613618,-0.058483015
30,IYR VHT,1.920393809,-0.6825,0.050625,0.70875,-0.051875
31,MSFT AMD,1.769191052,-0.567320392,0.053414093,0.834994998,-0.04535841
32,UPRO GOOGL,0.537824322,-0.633762812,0.054273782,0.569970343,-0.053292586
33,UPRO ORCL,0.452877227,-0.660625,0.05109375,0.7590625,-0.04953125
34,JPM IYR,2.440322365,-0.665,0.0521875,0.730625,-0.0521875
35,CVX LQD,1.762073903,-0.604457092,0.051820278,0.770150337,-0.051565685
36,CVX IBB,1.975323178,-0.714287548,0.056941247,0.486913598,-0.055036908
37,CVX TMF,1.919330991,-0.33202077,0.055370609,0.750836592,-0.058359761
38,XOM PG,1.364504651,-0.66390625,0.050820313,0.714765625,-0.051992188
39,INTC CSCO,1.744103328,-0.710305176,0.053400269,0.678133545,-0.046525269
40,INTC TTWO,1.393098941,-0.763856201,0.051594849,0.523701172,-0.05242981
41,COST MSFT,1.967407562,-0.722157134,0.055521718,0.620266627,-0.05088389
42,T AAPL,1.575575012,-0.645859375,0.048925781,0.707382813,-0.051113281
43,T AMD,1.088541803,-0.739810791,0.049080811,0.721490479,-0.050756226
44,T NVDA,1.366887473,-0.6803125,0.048359375,0.71859375,-0.052109375
45,T QQQ,1.903734913,-0.706551839,0.056480446,0.488185522,-0.053246032
46,T MSFT,1.392862042,-0.771640625,0.048671875,0.673203125,-0.050195312
47,T WMT,1.814313962,-0.676826172,0.052385254,0.575415039,-0.052893066
48,VZ GOOGL,1.978302873,-0.728984375,0.050820313,0.6934375,-0.050820313
49,VZ CSCO,2.264991801,-0.675829195,0.052007152,0.656389506,-0.050912871
50,VZ TTWO,1.789671273,-0.758331576,0.049364843,0.604238628,-0.056876082
51,VZ EA,1.736830578,-0.73140419,0.050186119,0.69697403,-0.050173531
52,VZ QQQ,1.833836752,-0.744756382,0.050469655,0.620172225,-0.052246411
53,VZ SPY,2.012030262,-0.738042932,0.049770026,0.612709107,-0.053227537
54,VZ VOO,2.079918904,-0.764766235,0.048968811,0.650806885,-0.0542453
55,VZ VDE,1.964233389,-0.983602788,0.047295856,0.532916744,-0.043210486
56,VZ VTI,2.011845694,-0.730625,0.0509375,0.69125,-0.0490625
57,VZ VDC,2.662387269,-0.85084334,0.050982826,0.790525437,-0.035816179
58,VZ VHT,2.234779421,-0.6671875,0.051640625,0.69453125,-0.050078125
59,VZ IYR,2.117207541,-0.713713198,0.051436534,0.686482868,-0.050811906
60,VZ MSFT,2.02100113,-0.656865234,0.052451782,0.677005615,-0.051939087
61,VZ PG,2.50435649,-0.735,0.05,0.7,-0.05
62,VZ TMF,2.277065652,-0.481507416,0.05441659,0.773840542,-0.053564234
63,VZ JPM,1.810430531,-0.746911621,0.053790283,0.533886719,-0.052994385
64,VZ XOM,1.927960041,-0.688329773,0.051657791,0.724888153,-0.048220444
65,VZ INTC,1.746785514,-0.698167114,0.050923538,0.729575043,-0.049000931
66,VZ COST,2.382466875,-0.684837677,0.049576416,0.704432029,-0.050933781
67,VZ WMT,2.797374088,-0.769716661,0.052446522,0.563303896,-0.054603439
68,CMCSA ORCL,2.756510751,-0.689141465,0.052184457,0.652729319,-0.051560039
69,CMCSA VDC,2.817446967,-0.589789296,0.058925481,0.597372518,-0.049333454
70,CMCSA KXI,2.872766056,-0.564648437,0.053713379,0.758276367,-0.052277832
71,CMCSA VHT,2.215424936,-0.653662835,0.053340018,0.691433776,-0.050305193
72,CMCSA VNQ,2.624765489,-0.69023262,0.04860487,0.748836098,-0.048963871
73,CMCSA IYR,2.531933025,-0.703967493,0.048533263,0.753039881,-0.048853077
